SIM,SOLVER,ERP,DIRECTION,TIMESTEP,BOXVELOCITY,BALLVELOCITY,BOXPOSITION,BALLPOSITION,BOXERROR,BALLERROR,TIME
"MUJOCO","PGS",0,0,1e-05,0,0,0,0,0.00510089254910631,0.000387527861964249,90.095
"MUJOCO","PGS",0,0,4e-05,0,0,0,0,0.0047294364486779,0.000380761981850648,26.1717
"MUJOCO","PGS",0,0,0.0001,0,0,0,0,0.00475379822949974,0.000575823635530005,11.2049
"MUJOCO","PGS",0,0,0.0004,0,0,0,0,0.00529142453713441,0.00141584296631068,3.15171
"MUJOCO","PGS",0,0,0.001,0,0,0,0,0.00510946242225189,0.00267708433575273,1.26495
"MUJOCO","PGS",0,0,0.004,0,0,0,0,0.0136880711877291,0.0104422606462645,0.303862
"MUJOCO","PGS",0,0,0.01,0,0,0,0,0.0521562698363807,0.0521428401921157,0.0876725
"MUJOCO","PGS",0,0,0.04,0,0,0,0,0.235972238080705,0.184771216565747,0.043729
"MUJOCO","PGS",0,0,0.1,0,0,0,0,1.01241371312388,0.705414650038923,0.0231536
"ODE","QUICK",0,0,1e-05,0,0,0,0,1.68562780959964e-09,2.69765830064566e-10,59.0283
"ODE","QUICK",0,0,4e-05,0,0,0,0,1.68558392976884e-09,2.69953255371395e-10,14.3577
"ODE","QUICK",0,0,0.0001,0,0,0,0,1.68567752648259e-09,2.70361556611643e-10,5.45657
"ODE","QUICK",0,0,0.0004,0,0,0,0,1.6859205662961e-09,2.72726522248656e-10,1.46036
"ODE","QUICK",0,0,0.001,0,0,0,0,1.68752734717124e-09,2.79271753586603e-10,0.572696
"ODE","QUICK",0,0,0.004,0,0,0,0,1.65655847408016e-09,3.57623528205885e-10,0.142282
"ODE","QUICK",0,0,0.01,0,0,0,0,1.95161450921097e-09,1.13258269920593e-09,0.0574642
"ODE","QUICK",0,0,0.04,0,0,0,0,0.00227461216709859,0.00235108635746955,0.0164612
"ODE","QUICK",0,0,0.1,0,0,0,0,0.159828213819164,0.12249736510465,0.00714626
"ODE","STANDARD",0,0,1e-05,0,0,0,0,651.66040138402,0.98064457335599,49.2842
"ODE","STANDARD",0,0,4e-05,0,0,0,0,501.897033568455,0.980913283590285,14.1149
"ODE","STANDARD",0,0,0.0001,0,0,0,0,501.534248621691,0.981052339758109,5.35299
"ODE","STANDARD",0,0,0.0004,0,0,0,0,562.106825221682,0.982741956400307,1.33912
"ODE","STANDARD",0,0,0.001,0,0,0,0,0.00596600587341812,0.000468431999535979,1.94096
"ODE","STANDARD",0,0,0.004,0,0,0,0,0.119903721216098,0.00994998529343863,0.45794
"ODE","STANDARD",0,0,0.01,0,0,0,0,634.444457721405,1.04641557888152,0.0485414
"ODE","STANDARD",0,0,0.04,0,0,0,0,652.415057162348,1.23791316351765,0.0124451
"ODE","STANDARD",0,0,0.1,0,0,0,0,3.1036595897785,0.586346081096714,0.010673
"RAI","RAI",0,0,1e-05,0,0,0,0,4.0891066637443e-07,4.51403388520837e-08,38.7613
"RAI","RAI",0,0,4e-05,0,0,0,0,4.07310292760864e-07,4.28997848238135e-08,9.81914
"RAI","RAI",0,0,0.0001,0,0,0,0,4.08531229242992e-07,4.43252747814888e-08,3.92038
"RAI","RAI",0,0,0.0004,0,0,0,0,4.0625205392888e-07,4.40933825700628e-08,0.991081
"RAI","RAI",0,0,0.001,0,0,0,0,4.06069029919691e-07,4.41343732164739e-08,0.40707
"RAI","RAI",0,0,0.004,0,0,0,0,4.04934318337565e-07,4.42935372341832e-08,0.102463
"RAI","RAI",0,0,0.01,0,0,0,0,4.03315174484447e-07,4.51493812160021e-08,0.0428531
"RAI","RAI",0,0,0.04,0,0,0,0,3.93227652865456e-07,4.88814197358541e-08,0.0106373
"RAI","RAI",0,0,0.1,0,0,0,0,3.7767135112631e-07,6.24962136164174e-08,0.00430111
"BULLET","MLCPDANTZIG",0,1,1e-05,0,0,0,0,6.89498289022079e-12,3.25415192225526e-12,166.433
"BULLET","MLCPDANTZIG",0,1,4e-05,0,0,0,0,1.22625428924304e-10,9.37739264586268e-11,42.1453
"BULLET","MLCPDANTZIG",0,1,0.0001,0,0,0,0,8.62776041204235e-10,1.10380383074119e-09,15.5753
"BULLET","MLCPDANTZIG",0,1,0.0004,0,0,0,0,1.10988730167111e-07,7.13953430688807e-08,4.05629
"BULLET","MLCPDANTZIG",0,1,0.001,0,0,0,0,1.16781273610335e-05,6.01895223112359e-07,1.57622
"BULLET","MLCPDANTZIG",0,1,0.004,0,0,0,0,0.000143192698259454,3.11522473921628e-05,0.393892
"BULLET","MLCPDANTZIG",0,1,0.01,0,0,0,0,0.000640840409406196,0.000179372024810793,0.16654
"BULLET","MLCPDANTZIG",0,1,0.04,0,0,0,0,0.000240414478463536,0.000107249532052467,0.0430436
"BULLET","MLCPDANTZIG",0,1,0.1,0,0,0,0,0.00389030397040323,0.00218854409309575,0.0174867
"BULLET","MLCPPGS",0,1,1e-05,0,0,0,0,1.27837151772406e-10,3.64705018588904e-11,367.505
"BULLET","MLCPPGS",0,1,4e-05,0,0,0,0,1.88920862892e-09,7.02771184308074e-10,92.112
"BULLET","MLCPPGS",0,1,0.0001,0,0,0,0,5.94699768526266e-08,1.66933056097449e-08,36.8225
"BULLET","MLCPPGS",0,1,0.0004,0,0,0,0,9.69131481803669e-06,1.2734615601186e-06,9.18043
"BULLET","MLCPPGS",0,1,0.001,0,0,0,0,4.06017655969869e-05,4.5550459084003e-06,3.53306
"BULLET","MLCPPGS",0,1,0.004,0,0,0,0,0.000170729046920803,3.23553496025138e-05,0.874058
"BULLET","MLCPPGS",0,1,0.01,0,0,0,0,0.000530041955466034,0.000210217336872138,0.379042
"BULLET","MLCPPGS",0,1,0.04,0,0,0,0,0.0248261077682244,0.00148826037558663,0.0962115
"BULLET","MLCPPGS",0,1,0.1,0,0,0,0,0.151891613433064,0.168115217894909,0.0233941
"BULLET","NNCG",0,1,1e-05,0,0,0,0,1.28540570470543e-11,1.04368079262023e-11,30.9532
"BULLET","NNCG",0,1,4e-05,0,0,0,0,2.46076650807031e-09,4.57041276748495e-10,7.65079
"BULLET","NNCG",0,1,0.0001,0,0,0,0,2.00970617464733e-08,2.91013793569048e-09,3.1499
"BULLET","NNCG",0,1,0.0004,0,0,0,0,4.63067037265739e-06,3.41665729868049e-06,0.758533
"BULLET","NNCG",0,1,0.001,0,0,0,0,4.39646873348863e-05,1.02265429843065e-05,0.308839
"BULLET","NNCG",0,1,0.004,0,0,0,0,0.000131886037630114,9.02942262632157e-05,0.0832671
"BULLET","NNCG",0,1,0.01,0,0,0,0,0.000481646354477714,0.000231213253120563,0.033046
"BULLET","NNCG",0,1,0.04,0,0,0,0,0.00379838711618443,0.00436974681653221,0.00920977
"BULLET","NNCG",0,1,0.1,0,0,0,0,0.264199152872125,0.472324078039544,0.00625013
"BULLET","SEQUENCEIMPULSE",0,1,1e-05,0,0,0,0,1.27837326135138e-10,3.64703997547512e-11,35.1179
"BULLET","SEQUENCEIMPULSE",0,1,4e-05,0,0,0,0,1.8892119789937e-09,7.02769349576599e-10,8.7693
"BULLET","SEQUENCEIMPULSE",0,1,0.0001,0,0,0,0,5.84092154630995e-08,1.65339191980013e-08,3.50684
"BULLET","SEQUENCEIMPULSE",0,1,0.0004,0,0,0,0,9.69707911003403e-06,1.27399332694744e-06,0.884289
"BULLET","SEQUENCEIMPULSE",0,1,0.001,0,0,0,0,4.06018304249364e-05,4.55498749294402e-06,0.355
"BULLET","SEQUENCEIMPULSE",0,1,0.004,0,0,0,0,0.00017074134185524,3.23796425899302e-05,0.0692599
"BULLET","SEQUENCEIMPULSE",0,1,0.01,0,0,0,0,0.000530178057069783,0.000210534923566871,0.0317138
"BULLET","SEQUENCEIMPULSE",0,1,0.04,0,0,0,0,0.0246771292691794,0.00147447675862138,0.00966727
"BULLET","SEQUENCEIMPULSE",0,1,0.1,0,0,0,0,0.146398350530321,0.0556711947801595,0.0046158
"DART","DANTZIG",0,1,1e-05,0,0,0,0,2.97336657503038,0.242723814100395,275.51
"DART","DANTZIG",0,1,4e-05,0,0,0,0,2.97328851551305,0.24271744109533,67.6038
"DART","DANTZIG",0,1,0.0001,0,0,0,0,2.97328106447257,0.242716830567823,26.0448
"DART","DANTZIG",0,1,0.0004,0,0,0,0,2.97294648656003,0.242689511576845,6.50711
"DART","DANTZIG",0,1,0.001,0,0,0,0,2.97227738264287,0.242634887486039,2.67531
"DART","DANTZIG",0,1,0.004,0,0,0,0,2.96893286804117,0.242361838596407,0.680333
"DART","DANTZIG",0,1,0.01,0,0,0,0,2.96224885864379,0.241816094627259,0.260951
"DART","DANTZIG",0,1,0.04,0,0,0,0,2.92892921103709,0.239095308300478,0.0659467
"DART","DANTZIG",0,1,0.1,0,0,0,0,2.8627920279406,0.233694690506337,0.0283097
"DART","PGS",0,1,1e-05,0,0,0,0,2.97336656525883,0.242723813043563,288.791
"DART","PGS",0,1,4e-05,0,0,0,0,2.97328850205636,0.242717440296406,70.397
"DART","PGS",0,1,0.0001,0,0,0,0,2.97328100705417,0.242716832782081,27.6324
"DART","PGS",0,1,0.0004,0,0,0,0,2.97294640810228,0.242689552763532,7.16692
"DART","PGS",0,1,0.001,0,0,0,0,2.97227718684699,0.242635174612669,2.86332
"DART","PGS",0,1,0.004,0,0,0,0,2.968932108242,0.242366158629105,0.71265
"DART","PGS",0,1,0.01,0,0,0,0,2.9622472471681,0.241837430938075,0.285674
"DART","PGS",0,1,0.04,0,0,0,0,2.9289278870149,0.239243119136366,0.072589
